pclass,age,sex,sibsp,parch,fare,cabin,embarked,title,survived
1,29.0,female,0,0,211.3375,B,S,Miss,1
1,0.9167,male,1,2,151.55,C,S,Master,1
1,2.0,female,1,2,151.55,C,S,Miss,0
1,30.0,male,1,2,151.55,C,S,Mr,0
1,25.0,female,1,2,151.55,C,S,Mrs,0
1,48.0,male,0,0,26.55,E,S,Mr,1
1,63.0,female,1,0,77.9583,D,S,Miss,1
1,39.0,male,0,0,0.0,A,S,Mr,0
1,53.0,female,2,0,51.4792,C,S,Mrs,1
1,71.0,male,0,0,49.5042,,C,Mr,0
1,47.0,male,1,0,227.525,C,C,Other,0
1,18.0,female,1,0,227.525,C,C,Mrs,1
1,24.0,female,0,0,69.3,B,C,Other,1
1,26.0,female,0,0,78.85,,S,Miss,1
1,80.0,male,0,0,30.0,A,S,Mr,1
1,,male,0,0,25.925,,S,Mr,0
1,24.0,male,0,1,247.5208,B,C,Mr,0
1,50.0,female,0,1,247.5208,B,C,Mrs,1
1,32.0,female,0,0,76.2917,D,C,Miss,1
1,36.0,male,0,0,75.2417,C,C,Mr,0
1,37.0,male,1,1,52.5542,D,S,Mr,1
1,47.0,female,1,1,52.5542,D,S,Mrs,1
1,26.0,male,0,0,30.0,C,C,Mr,1
1,42.0,female,0,0,227.525,,C,Miss,1
1,29.0,female,0,0,221.7792,C,S,Miss,1
1,25.0,male,0,0,26.0,,C,Mr,0
1,25.0,male,1,0,91.0792,B,C,Mr,1
1,19.0,female,1,0,91.0792,B,C,Mrs,1
1,35.0,female,0,0,135.6333,C,S,Miss,1
1,28.0,male,0,0,26.55,C,S,Mr,1
1,45.0,male,0,0,35.5,T,S,Mr,0
1,40.0,male,0,0,31.0,A,C,Mr,1
1,30.0,female,0,0,164.8667,C,S,Miss,1
1,58.0,female,0,0,26.55,C,S,Miss,1
1,42.0,male,0,0,26.55,D,S,Mr,0
1,45.0,female,0,0,262.375,,C,Miss,1
1,22.0,female,0,1,55.0,E,S,Miss,1
1,,male,0,0,26.55,,S,Mr,1
1,41.0,male,0,0,30.5,A,S,Mr,0
1,48.0,male,0,0,50.4958,B,C,Mr,0
1,,male,0,0,39.6,,C,Other,0
1,44.0,female,0,0,27.7208,B,C,Mrs,1
1,59.0,female,2,0,51.4792,C,S,Mrs,1
1,60.0,female,0,0,76.2917,D,C,Mrs,1
1,41.0,female,0,0,134.5,E,C,Miss,1
1,45.0,male,0,0,26.55,B,S,Other,0
1,,male,0,0,31.0,,S,Mr,0
1,42.0,male,0,0,26.2875,E,S,Mr,1
1,53.0,female,0,0,27.4458,,C,Mrs,1
1,36.0,male,0,1,512.3292,B,C,Mr,1
1,58.0,female,0,1,512.3292,B,C,Mrs,1
1,33.0,male,0,0,5.0,B,S,Mr,0
1,28.0,male,0,0,47.1,,S,Mr,0
1,17.0,male,0,0,47.1,,S,Mr,0
1,11.0,male,1,2,120.0,B,S,Master,1
1,14.0,female,1,2,120.0,B,S,Miss,1
1,36.0,male,1,2,120.0,B,S,Mr,1
1,36.0,female,1,2,120.0,B,S,Mrs,1
1,49.0,male,0,0,26.0,,S,Mr,0
1,,female,0,0,27.7208,,C,Mrs,1
1,36.0,male,1,0,78.85,C,S,Mr,0
1,76.0,female,1,0,78.85,C,S,Mrs,1
1,46.0,male,1,0,61.175,E,S,Mr,0
1,47.0,female,1,0,61.175,E,S,Mrs,1
1,27.0,male,1,0,53.1,E,S,Mr,1
1,33.0,female,1,0,53.1,E,S,Mrs,1
1,36.0,female,0,0,262.375,B,C,Miss,1
1,30.0,female,0,0,86.5,B,S,Miss,1
1,45.0,male,0,0,29.7,A,C,Mr,1
1,,female,0,1,55.0,E,S,Mrs,1
1,,male,0,0,0.0,,S,Mr,0
1,27.0,male,1,0,136.7792,C,C,Mr,0
1,26.0,female,1,0,136.7792,C,C,Mrs,1
1,22.0,female,0,0,151.55,,S,Miss,1
1,,male,0,0,52.0,A,S,Mr,0
1,47.0,male,0,0,25.5875,E,S,Mr,0
1,39.0,female,1,1,83.1583,E,C,Miss,1
1,37.0,male,1,1,83.1583,E,C,Mr,0
1,64.0,female,0,2,83.1583,E,C,Mrs,1
1,55.0,female,2,0,25.7,C,S,Mrs,1
1,,male,0,0,26.55,,S,Mr,0
1,70.0,male,1,1,71.0,B,S,Other,0
1,36.0,female,0,2,71.0,B,S,Miss,1
1,64.0,female,1,1,26.55,B,S,Mrs,1
1,39.0,male,1,0,71.2833,C,C,Mr,0
1,38.0,female,1,0,71.2833,C,C,Mrs,1
1,51.0,male,0,0,26.55,E,S,Mr,1
1,27.0,male,0,0,30.5,,S,Mr,1
1,33.0,female,0,0,151.55,,S,Miss,1
1,31.0,male,1,0,52.0,B,S,Mr,0
1,27.0,female,1,2,52.0,B,S,Mrs,1
1,31.0,male,1,0,57.0,B,S,Mr,1
1,17.0,female,1,0,57.0,B,S,Mrs,1
1,53.0,male,1,1,81.8583,A,S,Other,1
1,4.0,male,0,2,81.8583,A,S,Master,1
1,54.0,female,1,1,81.8583,A,S,Mrs,1
1,50.0,male,1,0,106.425,C,C,Mr,0
1,27.0,female,1,1,247.5208,B,C,Mrs,1
1,48.0,female,1,0,106.425,C,C,Mrs,1
1,48.0,female,1,0,39.6,A,C,Mrs,1
1,49.0,male,1,0,56.9292,A,C,Mr,1
1,39.0,male,0,0,29.7,A,C,Mr,0
1,23.0,female,0,1,83.1583,C,C,Mrs,1
1,38.0,female,0,0,227.525,C,C,Miss,1
1,54.0,female,1,0,78.2667,D,C,Miss,1
1,36.0,female,0,0,31.6792,A,C,Miss,0
1,,male,0,0,221.7792,C,S,Mr,0
1,,female,0,0,31.6833,,S,Mrs,1
1,,female,0,0,110.8833,,C,Miss,1
1,36.0,male,0,0,26.3875,E,S,Mr,1
1,30.0,male,0,0,27.75,C,C,Mr,0
1,24.0,female,3,2,263.0,C,S,Miss,1
1,28.0,female,3,2,263.0,C,S,Miss,1
1,23.0,female,3,2,263.0,C,S,Miss,1
1,19.0,male,3,2,263.0,C,S,Mr,0
1,64.0,male,1,4,263.0,C,S,Mr,0
1,60.0,female,1,4,263.0,C,S,Mrs,1
1,30.0,female,0,0,56.9292,E,C,Miss,1
1,,male,0,0,26.55,D,S,Mr,0
1,50.0,male,2,0,133.65,,S,Other,1
1,43.0,male,1,0,27.7208,D,C,Mr,1
1,,female,1,0,133.65,,S,Mrs,1
1,22.0,female,0,2,49.5,B,C,Miss,1
1,60.0,male,1,1,79.2,B,C,Mr,1
1,48.0,female,1,1,79.2,B,C,Mrs,1
1,,male,0,0,0.0,B,S,Mr,0
1,37.0,male,1,0,53.1,C,S,Mr,0
1,35.0,female,1,0,53.1,C,S,Mrs,1
1,47.0,male,0,0,38.5,E,S,Mr,0
1,35.0,female,0,0,211.5,C,C,Miss,1
1,22.0,female,0,1,59.4,,C,Miss,1
1,45.0,female,0,1,59.4,,C,Mrs,1
1,24.0,male,0,0,79.2,B,C,Mr,0
1,49.0,male,1,0,89.1042,C,C,Mr,1
1,,female,1,0,89.1042,C,C,Mrs,1
1,71.0,male,0,0,34.6542,A,C,Mr,0
1,53.0,male,0,0,28.5,C,C,Other,1
1,19.0,female,0,0,30.0,B,S,Miss,1
1,38.0,male,0,1,153.4625,C,S,Mr,0
1,58.0,female,0,1,153.4625,C,S,Mrs,1
1,23.0,male,0,1,63.3583,D,C,Mr,1
1,45.0,female,0,1,63.3583,D,C,Mrs,1
1,46.0,male,0,0,79.2,B,C,Mr,0
1,25.0,male,1,0,55.4417,E,C,Mr,1
1,25.0,female,1,0,55.4417,E,C,Mrs,1
1,48.0,male,1,0,76.7292,D,C,Mr,1
1,49.0,female,1,0,76.7292,D,C,Mrs,1
1,,male,0,0,42.4,,S,Mr,0
1,45.0,male,1,0,83.475,C,S,Mr,0
1,35.0,female,1,0,83.475,C,S,Mrs,1
1,40.0,male,0,0,0.0,B,S,Mr,0
1,27.0,male,0,0,76.7292,D,C,Mr,1
1,,male,0,0,30.0,D,S,Mr,1
1,24.0,female,0,0,83.1583,C,C,Miss,1
1,55.0,male,1,1,93.5,B,S,Mr,0
1,52.0,female,1,1,93.5,B,S,Mrs,1
1,42.0,male,0,0,42.5,B,S,Mr,0
1,,male,0,0,51.8625,E,S,Mr,0
1,55.0,male,0,0,50.0,C,S,Mr,0
1,16.0,female,0,1,57.9792,B,C,Miss,1
1,44.0,female,0,1,57.9792,B,C,Mrs,1
1,51.0,female,1,0,77.9583,D,S,Mrs,1
1,42.0,male,1,0,52.0,,S,Mr,0
1,35.0,female,1,0,52.0,,S,Mrs,1
1,35.0,male,0,0,26.55,,C,Mr,1
1,38.0,male,1,0,90.0,C,S,Mr,1
1,,male,0,0,30.6958,,C,Mr,0
1,35.0,female,1,0,90.0,C,S,Mrs,1
1,38.0,female,0,0,80.0,B,,Miss,1
1,50.0,female,0,0,28.7125,C,C,Miss,0
1,49.0,male,0,0,0.0,B,S,Mr,1
1,46.0,male,0,0,26.0,,S,Mr,0
1,50.0,male,0,0,26.0,E,S,Mr,0
1,32.5,male,0,0,211.5,C,C,Mr,0
1,58.0,male,0,0,29.7,B,C,Mr,0
1,41.0,male,1,0,51.8625,D,S,Mr,0
1,,female,1,0,51.8625,D,S,Mrs,1
1,42.0,male,1,0,52.5542,D,S,Mr,1
1,45.0,female,1,0,52.5542,D,S,Mrs,1
1,,male,0,0,26.55,C,S,Mr,0
1,39.0,female,0,0,211.3375,,S,Miss,1
1,49.0,female,0,0,25.9292,D,S,Other,1
1,30.0,female,0,0,106.425,,C,Miss,1
1,35.0,male,0,0,512.3292,B,C,Mr,1
1,,male,0,0,27.7208,,C,Mr,0
1,42.0,male,0,0,26.55,,S,Mr,0
1,55.0,female,0,0,27.7208,,C,Mrs,1
1,16.0,female,0,1,39.4,D,S,Miss,1
1,51.0,female,0,1,39.4,D,S,Mrs,1
1,29.0,male,0,0,30.0,D,S,Mr,0
1,21.0,female,0,0,77.9583,D,S,Miss,1
1,30.0,male,0,0,45.5,,S,Mr,0
1,58.0,female,0,0,146.5208,B,C,Miss,1
1,15.0,female,0,1,211.3375,B,S,Miss,1
1,30.0,male,0,0,26.0,C,S,Mr,0
1,16.0,female,0,0,86.5,B,S,Miss,1
1,,male,0,0,29.7,C,C,Mr,1
1,19.0,male,1,0,53.1,D,S,Mr,0
1,18.0,female,1,0,53.1,D,S,Mrs,1
1,24.0,female,0,0,49.5042,C,C,Mrs,1
1,46.0,male,0,0,75.2417,C,C,Mr,0
1,54.0,male,0,0,51.8625,E,S,Mr,0
1,36.0,male,0,0,26.2875,E,S,Mr,1
1,28.0,male,1,0,82.1708,,C,Mr,0
1,,female,1,0,82.1708,,C,Mrs,1
1,65.0,male,0,0,26.55,E,S,Mr,0
1,44.0,male,2,0,90.0,C,Q,Other,0
1,33.0,female,1,0,90.0,C,Q,Miss,1
1,37.0,female,1,0,90.0,C,Q,Mrs,1
1,30.0,male,1,0,57.75,C,C,Mr,1
1,55.0,male,0,0,30.5,C,S,Mr,0
1,47.0,male,0,0,42.4,,S,Mr,0
1,37.0,male,0,1,29.7,C,C,Mr,0
1,31.0,female,1,0,113.275,D,C,Miss,1
1,23.0,female,1,0,113.275,D,C,Miss,1
1,58.0,male,0,2,113.275,D,C,Mr,0
1,19.0,female,0,2,26.2833,D,S,Miss,1
1,64.0,male,0,0,26.0,,S,Mr,0
1,39.0,female,0,0,108.9,C,C,Other,1
1,,male,0,0,25.7417,,C,Mr,1
1,22.0,female,0,1,61.9792,B,C,Miss,1
1,65.0,male,0,1,61.9792,B,C,Mr,0
1,28.5,male,0,0,27.7208,D,C,Mr,0
1,,male,0,0,0.0,,S,Mr,0
1,45.5,male,0,0,28.5,C,S,Mr,0
1,23.0,male,0,0,93.5,B,S,Mr,0
1,29.0,male,1,0,66.6,C,S,Mr,0
1,22.0,female,1,0,66.6,C,S,Mrs,1
1,18.0,male,1,0,108.9,C,C,Mr,0
1,17.0,female,1,0,108.9,C,C,Mrs,1
1,30.0,female,0,0,93.5,B,S,Miss,1
1,52.0,male,0,0,30.5,C,S,Other,1
1,47.0,male,0,0,52.0,C,S,Mr,0
1,56.0,female,0,1,83.1583,C,C,Mrs,1
1,38.0,male,0,0,0.0,,S,Other,0
1,,male,0,0,39.6,,S,Mr,1
1,22.0,male,0,0,135.6333,,C,Mr,0
1,,male,0,0,227.525,,C,Mr,0
1,43.0,female,0,1,211.3375,B,S,Mrs,1
1,31.0,male,0,0,50.4958,A,S,Mr,0
1,45.0,male,0,0,26.55,,S,Mr,1
1,,male,0,0,50.0,A,S,Mr,0
1,33.0,female,0,0,27.7208,A,C,Miss,1
1,46.0,male,0,0,79.2,,C,Mr,0
1,36.0,male,0,0,40.125,A,C,Mr,0
1,33.0,female,0,0,86.5,B,S,Other,1
1,55.0,male,1,0,59.4,,C,Mr,0
1,54.0,female,1,0,59.4,,C,Mrs,1
1,33.0,male,0,0,26.55,,S,Mr,0
1,13.0,male,2,2,262.375,B,C,Master,1
1,18.0,female,2,2,262.375,B,C,Miss,1
1,21.0,female,2,2,262.375,B,C,Miss,1
1,61.0,male,1,3,262.375,B,C,Mr,0
1,48.0,female,1,3,262.375,B,C,Mrs,1
1,,male,0,0,30.5,C,S,Mr,1
1,24.0,female,0,0,69.3,B,C,Other,1
1,,male,0,0,26.0,,S,Mr,1
1,35.0,female,1,0,57.75,C,C,Mrs,1
1,30.0,female,0,0,31.0,,C,Miss,1
1,34.0,male,0,0,26.55,,S,Mr,1
1,40.0,female,0,0,153.4625,C,S,Miss,1
1,35.0,male,0,0,26.2875,E,S,Mr,1
1,50.0,male,1,0,55.9,E,S,Mr,0
1,39.0,female,1,0,55.9,E,S,Mrs,1
1,56.0,male,0,0,35.5,A,C,Other,1
1,28.0,male,0,0,35.5,A,S,Mr,1
1,56.0,male,0,0,26.55,,S,Mr,0
1,56.0,male,0,0,30.6958,A,C,Mr,0
1,24.0,male,1,0,60.0,C,S,Mr,0
1,,male,0,0,26.0,A,S,Mr,0
1,18.0,female,1,0,60.0,C,S,Mrs,1
1,24.0,male,1,0,82.2667,B,S,Mr,1
1,23.0,female,1,0,82.2667,B,S,Mrs,1
1,6.0,male,0,2,134.5,E,C,Master,1
1,45.0,male,1,1,134.5,E,C,Mr,1
1,40.0,female,1,1,134.5,E,C,Mrs,1
1,57.0,male,1,0,146.5208,B,C,Mr,0
1,,female,1,0,146.5208,B,C,Mrs,1
1,32.0,male,0,0,30.5,B,C,Other,1
1,62.0,male,0,0,26.55,C,S,Mr,0
1,54.0,male,1,0,55.4417,C,C,Mr,1
1,43.0,female,1,0,55.4417,C,C,Mrs,1
1,52.0,female,1,0,78.2667,D,C,Mrs,1
1,,male,0,0,27.7208,,C,Mr,0
1,62.0,female,0,0,80.0,B,,Mrs,1
1,67.0,male,1,0,221.7792,C,S,Mr,0
1,63.0,female,1,0,221.7792,C,S,Mrs,0
1,61.0,male,0,0,32.3208,D,S,Mr,0
1,48.0,female,0,0,25.9292,D,S,Mrs,1
1,18.0,female,0,2,79.65,E,S,Miss,1
1,52.0,male,1,1,79.65,E,S,Mr,0
1,39.0,female,1,1,79.65,E,S,Mrs,1
1,48.0,male,1,0,52.0,C,S,Mr,1
1,,female,1,0,52.0,C,S,Mrs,1
1,49.0,male,1,1,110.8833,C,C,Mr,0
1,17.0,male,0,2,110.8833,C,C,Mr,1
1,39.0,female,1,1,110.8833,C,C,Mrs,1
1,,female,0,0,79.2,,C,Mrs,1
1,31.0,male,0,0,28.5375,C,C,Mr,1
1,40.0,male,0,0,27.7208,,C,Other,0
1,61.0,male,0,0,33.5,B,S,Mr,0
1,47.0,male,0,0,34.0208,D,S,Mr,0
1,35.0,female,0,0,512.3292,,C,Miss,1
1,64.0,male,1,0,75.25,D,C,Mr,0
1,60.0,female,1,0,75.25,D,C,Mrs,1
1,60.0,male,0,0,26.55,,S,Other,0
1,54.0,male,0,1,77.2875,D,S,Mr,0
1,21.0,male,0,1,77.2875,D,S,Mr,0
1,55.0,female,0,0,135.6333,C,C,Mrs,1
1,31.0,female,0,2,164.8667,C,S,Miss,1
1,57.0,male,1,1,164.8667,,S,Mr,0
1,45.0,female,1,1,164.8667,,S,Mrs,1
1,50.0,male,1,1,211.5,C,C,Mr,0
1,27.0,male,0,2,211.5,C,C,Mr,0
1,50.0,female,1,1,211.5,C,C,Mrs,1
1,21.0,female,0,0,26.55,,S,Miss,1
1,51.0,male,0,1,61.3792,,C,Mr,0
1,21.0,male,0,1,61.3792,,C,Mr,1
1,,male,0,0,35.0,C,S,Mr,0
1,31.0,female,0,0,134.5,E,C,Miss,1
1,,male,0,0,35.5,C,S,Mr,1
1,62.0,male,0,0,26.55,,S,Mr,0
1,36.0,female,0,0,135.6333,C,C,Miss,1
2,30.0,male,1,0,24.0,,C,Mr,0
2,28.0,female,1,0,24.0,,C,Mrs,1
2,30.0,male,0,0,13.0,,S,Mr,0
2,18.0,male,0,0,11.5,,S,Mr,0
2,25.0,male,0,0,10.5,,S,Mr,0
2,34.0,male,1,0,26.0,,S,Mr,0
2,36.0,female,1,0,26.0,,S,Mrs,1
2,57.0,male,0,0,13.0,,S,Mr,0
2,18.0,male,0,0,11.5,,S,Mr,0
2,23.0,male,0,0,10.5,,S,Mr,0
2,36.0,female,0,0,13.0,D,S,Mrs,1
2,28.0,male,0,0,10.5,,S,Mr,0
2,51.0,male,0,0,12.525,,S,Other,0
2,32.0,male,1,0,26.0,,S,Mr,1
2,19.0,female,1,0,26.0,,S,Mrs,1
2,28.0,male,0,0,26.0,,S,Mr,0
2,1.0,male,2,1,39.0,F,S,Master,1
2,4.0,female,2,1,39.0,F,S,Miss,1
2,12.0,female,2,1,39.0,F,S,Miss,1
2,36.0,female,0,3,39.0,F,S,Mrs,1
2,34.0,male,0,0,13.0,D,S,Mr,1
2,19.0,female,0,0,13.0,,S,Miss,1
2,23.0,male,0,0,13.0,,S,Mr,0
2,26.0,male,0,0,13.0,,S,Mr,0
2,42.0,male,0,0,13.0,,S,Mr,0
2,27.0,male,0,0,13.0,,S,Mr,0
2,24.0,female,0,0,13.0,F,S,Miss,1
2,15.0,female,0,2,39.0,,S,Miss,1
2,60.0,male,1,1,39.0,,S,Mr,0
2,40.0,female,1,1,39.0,,S,Mrs,1
2,20.0,female,1,0,26.0,,S,Miss,1
2,25.0,male,1,0,26.0,,S,Mr,0
2,36.0,female,0,0,13.0,,S,Miss,1
2,25.0,male,0,0,13.0,,S,Mr,0
2,42.0,male,0,0,13.0,,S,Other,0
2,42.0,female,0,0,13.0,,S,Mrs,1
2,0.8333,male,0,2,29.0,,S,Master,1
2,26.0,male,1,1,29.0,,S,Mr,1
2,22.0,female,1,1,29.0,,S,Mrs,1
2,35.0,female,0,0,21.0,,S,Miss,1
2,,male,0,0,0.0,,S,Mr,0
2,19.0,male,0,0,13.0,,S,Mr,0
2,44.0,female,1,0,26.0,,S,Mrs,0
2,54.0,male,1,0,26.0,,S,Other,0
2,52.0,male,0,0,13.5,,S,Mr,0
2,37.0,male,1,0,26.0,,S,Mr,0
2,29.0,female,1,0,26.0,,S,Mrs,0
2,25.0,female,1,1,30.0,,S,Miss,1
2,45.0,female,0,2,30.0,,S,Mrs,1
2,29.0,male,1,0,26.0,,S,Mr,0
2,28.0,female,1,0,26.0,,S,Mrs,1
2,29.0,male,0,0,10.5,,S,Mr,0
2,28.0,male,0,0,13.0,,S,Mr,0
2,24.0,male,0,0,10.5,,S,Mr,1
2,8.0,female,0,2,26.25,,S,Miss,1
2,31.0,male,1,1,26.25,,S,Mr,0
2,31.0,female,1,1,26.25,,S,Mrs,1
2,22.0,female,0,0,10.5,F,S,Mrs,1
2,30.0,female,0,0,13.0,,S,Mrs,0
2,,female,0,0,21.0,,S,Mrs,0
2,21.0,male,0,0,11.5,,S,Mr,0
2,,male,0,0,0.0,,S,Mr,0
2,8.0,male,1,1,36.75,,S,Master,1
2,18.0,male,0,0,73.5,,S,Mr,0
2,48.0,female,0,2,36.75,,S,Mrs,1
2,28.0,female,0,0,13.0,,S,Miss,1
2,32.0,male,0,0,13.0,,S,Mr,0
2,17.0,male,0,0,73.5,,S,Mr,0
2,29.0,male,1,0,27.7208,,C,Mr,0
2,24.0,female,1,0,27.7208,,C,Mrs,1
2,25.0,male,0,0,31.5,,S,Mr,0
2,18.0,male,0,0,73.5,,S,Mr,0
2,18.0,female,0,1,23.0,,S,Miss,1
2,34.0,female,0,1,23.0,,S,Mrs,1
2,54.0,male,0,0,26.0,,S,Mr,0
2,8.0,male,0,2,32.5,,S,Master,1
2,42.0,male,1,1,32.5,,S,Mr,0
2,34.0,female,1,1,32.5,,S,Mrs,1
2,27.0,female,1,0,13.8583,,C,Miss,1
2,30.0,female,1,0,13.8583,,C,Miss,1
2,23.0,male,0,0,13.0,,S,Mr,0
2,21.0,male,0,0,13.0,,S,Mr,0
2,18.0,male,0,0,13.0,,S,Mr,0
2,40.0,male,1,0,26.0,,S,Mr,0
2,29.0,female,1,0,26.0,,S,Mrs,1
2,18.0,male,0,0,10.5,,S,Mr,0
2,36.0,male,0,0,13.0,,S,Mr,0
2,,male,0,0,0.0,,S,Mr,0
2,38.0,female,0,0,13.0,,S,Miss,0
2,35.0,male,0,0,26.0,,S,Mr,0
2,38.0,male,1,0,21.0,,S,Mr,0
2,34.0,male,1,0,21.0,,S,Mr,0
2,34.0,female,0,0,13.0,,S,Miss,1
2,16.0,male,0,0,26.0,,S,Mr,0
2,26.0,male,0,0,10.5,,S,Mr,0
