pclass,age,sex,sibsp,parch,fare,cabin,embarked,title,survived
2,47.0,male,0,0,10.5,,S,Mr,0
2,21.0,male,1,0,11.5,,S,Mr,0
2,21.0,male,1,0,11.5,,S,Mr,0
2,24.0,male,0,0,13.5,,S,Mr,0
2,24.0,male,0,0,13.0,,S,Mr,0
2,34.0,male,0,0,13.0,,S,Mr,0
2,30.0,male,0,0,13.0,,S,Mr,0
2,52.0,male,0,0,13.0,,S,Mr,0
2,30.0,male,0,0,13.0,,S,Mr,0
2,0.6667,male,1,1,14.5,,S,Master,1
2,24.0,female,0,2,14.5,,S,Mrs,1
2,44.0,male,0,0,13.0,,S,Mr,0
2,6.0,female,0,1,33.0,,S,Miss,1
2,28.0,male,0,1,33.0,,S,Other,0
2,62.0,male,0,0,10.5,,S,Mr,1
2,30.0,male,0,0,10.5,,S,Mr,0
2,7.0,female,0,2,26.25,,S,Miss,1
2,43.0,male,1,1,26.25,,S,Mr,0
2,45.0,female,1,1,26.25,,S,Mrs,1
2,24.0,female,1,2,65.0,,S,Miss,1
2,24.0,female,1,2,65.0,,S,Miss,1
2,49.0,male,1,2,65.0,,S,Mr,0
2,48.0,female,1,2,65.0,,S,Mrs,1
2,55.0,female,0,0,16.0,,S,Mrs,1
2,24.0,male,2,0,73.5,,S,Mr,0
2,32.0,male,2,0,73.5,,S,Mr,0
2,21.0,male,2,0,73.5,,S,Mr,0
2,18.0,female,1,1,13.0,,S,Miss,0
2,20.0,female,2,1,23.0,,S,Miss,1
2,23.0,male,2,1,11.5,,S,Mr,0
2,36.0,male,0,0,13.0,,S,Mr,0
2,54.0,female,1,3,23.0,,S,Mrs,1
2,50.0,male,0,0,13.0,,S,Mr,0
2,44.0,male,1,0,26.0,,S,Mr,0
2,29.0,female,1,0,26.0,,S,Mrs,1
2,21.0,male,0,0,73.5,,S,Mr,0
2,42.0,male,0,0,13.0,,S,Mr,1
2,63.0,male,1,0,26.0,,S,Mr,0
2,60.0,female,1,0,26.0,,S,Mrs,0
2,33.0,male,0,0,12.275,,S,Mr,0
2,17.0,female,0,0,10.5,,S,Miss,1
2,42.0,male,1,0,27.0,,S,Mr,0
2,24.0,female,2,1,27.0,,S,Mrs,1
2,47.0,male,0,0,15.0,,S,Mr,0
2,24.0,male,2,0,31.5,,S,Mr,0
2,22.0,male,2,0,31.5,,S,Mr,0
2,32.0,male,0,0,10.5,,S,Mr,0
2,23.0,female,0,0,13.7917,D,C,Mrs,1
2,34.0,male,1,0,26.0,,S,Mr,0
2,24.0,female,1,0,26.0,,S,Mrs,1
2,22.0,female,0,0,21.0,,S,Mrs,0
2,,female,0,0,12.35,E,Q,Miss,1
2,35.0,male,0,0,12.35,,Q,Mr,0
2,45.0,female,0,0,13.5,,S,Mrs,1
2,57.0,male,0,0,12.35,,Q,Other,0
2,,male,0,0,0.0,,S,Mr,0
2,31.0,male,0,0,10.5,,S,Mr,0
2,26.0,female,1,1,26.0,,S,Mrs,0
2,30.0,male,1,1,26.0,,S,Other,0
2,,male,0,0,10.7083,,Q,Mr,0
2,1.0,female,1,2,41.5792,,C,Miss,1
2,3.0,female,1,2,41.5792,,C,Miss,1
2,25.0,male,1,2,41.5792,,C,Mr,0
2,22.0,female,1,2,41.5792,,C,Mrs,1
2,17.0,female,0,0,12.0,,C,Miss,1
2,,female,0,0,33.0,,S,Miss,1
2,34.0,female,0,0,10.5,F,S,Mrs,1
2,36.0,male,0,0,12.875,D,C,Mr,0
2,24.0,male,0,0,10.5,,S,Mr,0
2,61.0,male,0,0,12.35,,Q,Mr,0
2,50.0,male,1,0,26.0,,S,Mr,0
2,42.0,female,1,0,26.0,,S,Mrs,1
2,57.0,female,0,0,10.5,E,S,Mrs,0
2,,male,0,0,15.0458,D,C,Mr,0
2,1.0,male,0,2,37.0042,,C,Master,1
2,31.0,male,1,1,37.0042,,C,Mr,0
2,24.0,female,1,1,37.0042,,C,Mrs,1
2,,male,0,0,15.5792,,C,Mr,0
2,30.0,male,0,0,13.0,,S,Mr,0
2,40.0,male,0,0,16.0,,S,Mr,0
2,32.0,male,0,0,13.5,,S,Mr,0
2,30.0,male,0,0,13.0,,S,Mr,0
2,46.0,male,0,0,26.0,,S,Mr,0
2,13.0,female,0,1,19.5,,S,Miss,1
2,41.0,female,0,1,19.5,,S,Mrs,1
2,19.0,male,0,0,10.5,,S,Mr,1
2,39.0,male,0,0,13.0,,S,Mr,0
2,48.0,male,0,0,13.0,,S,Mr,0
2,70.0,male,0,0,10.5,,S,Mr,0
2,27.0,male,0,0,13.0,,S,Other,0
2,54.0,male,0,0,14.0,,S,Other,0
2,39.0,male,0,0,26.0,,S,Mr,0
2,16.0,male,0,0,10.5,,S,Mr,0
2,62.0,male,0,0,9.6875,,Q,Mr,0
2,32.5,male,1,0,30.0708,,C,Mr,0
2,14.0,female,1,0,30.0708,,C,Mrs,1
2,2.0,male,1,1,26.0,F,S,Master,1
2,3.0,male,1,1,26.0,F,S,Master,1
2,36.5,male,0,2,26.0,F,S,Mr,0
2,26.0,male,0,0,13.0,F,S,Mr,0
2,19.0,male,1,1,36.75,,S,Mr,0
2,28.0,male,0,0,13.5,,S,Mr,0
2,20.0,male,0,0,13.8625,D,C,Mr,1
2,29.0,female,0,0,10.5,F,S,Mrs,1
2,39.0,male,0,0,13.0,,S,Mr,0
2,22.0,male,0,0,10.5,,S,Mr,1
2,,male,0,0,13.8625,,C,Mr,1
2,23.0,male,0,0,10.5,,S,Other,0
2,29.0,male,0,0,13.8583,,C,Mr,1
2,28.0,male,0,0,10.5,,S,Mr,0
2,,male,0,0,0.0,,S,Mr,0
2,50.0,female,0,1,26.0,,S,Mrs,1
2,19.0,male,0,0,10.5,,S,Mr,0
2,,male,0,0,15.05,,C,Mr,0
2,41.0,male,0,0,13.0,,S,Other,0
2,21.0,female,0,1,21.0,,S,Miss,1
2,19.0,female,0,0,26.0,,S,Mrs,1
2,43.0,male,0,1,21.0,,S,Mr,0
2,32.0,female,0,0,13.0,,S,Mrs,1
2,34.0,male,0,0,13.0,,S,Mr,0
2,30.0,male,0,0,12.7375,,C,Mr,1
2,27.0,male,0,0,15.0333,,C,Mr,0
2,2.0,female,1,1,26.0,,S,Miss,1
2,8.0,female,1,1,26.0,,S,Miss,1
2,33.0,female,0,2,26.0,,S,Mrs,1
2,36.0,male,0,0,10.5,,S,Mr,0
2,34.0,male,1,0,21.0,,S,Mr,0
2,30.0,female,3,0,21.0,,S,Mrs,1
2,28.0,female,0,0,13.0,,S,Other,1
2,23.0,male,0,0,15.0458,,C,Mr,0
2,0.8333,male,1,1,18.75,,S,Master,1
2,3.0,male,1,1,18.75,,S,Master,1
2,24.0,female,2,3,18.75,,S,Mrs,1
2,50.0,female,0,0,10.5,,S,Miss,1
2,19.0,male,0,0,10.5,,S,Mr,0
2,21.0,female,0,0,10.5,,S,Miss,1
2,26.0,male,0,0,13.0,,S,Mr,0
2,25.0,male,0,0,13.0,,S,Mr,0
2,27.0,male,0,0,26.0,,S,Mr,0
2,25.0,female,0,1,26.0,,S,Mrs,1
2,18.0,female,0,2,13.0,,S,Miss,1
2,20.0,female,0,0,36.75,,S,Miss,1
2,30.0,female,0,0,13.0,,S,Miss,1
2,59.0,male,0,0,13.5,,S,Mr,0
2,30.0,female,0,0,12.35,,Q,Miss,1
2,35.0,male,0,0,10.5,,S,Mr,0
2,40.0,female,0,0,13.0,,S,Miss,1
2,25.0,male,0,0,13.0,,S,Mr,0
2,41.0,male,0,0,15.0458,,C,Mr,0
2,25.0,male,0,0,10.5,,S,Mr,0
2,18.5,male,0,0,13.0,F,S,Mr,0
2,14.0,male,0,0,65.0,,S,Mr,0
2,50.0,female,0,0,10.5,,S,Miss,1
2,23.0,male,0,0,13.0,,S,Mr,0
2,28.0,female,0,0,12.65,,S,Mrs,1
2,27.0,female,0,0,10.5,E,S,Miss,1
2,29.0,male,1,0,21.0,,S,Mr,0
2,27.0,female,1,0,21.0,,S,Mrs,0
2,40.0,male,0,0,13.0,,S,Mr,0
2,31.0,female,0,0,21.0,,S,Miss,1
2,30.0,male,1,0,21.0,,S,Mr,0
2,23.0,male,1,0,10.5,,S,Mr,0
2,31.0,female,0,0,21.0,,S,Mrs,1
2,,male,0,0,0.0,,S,Mr,0
2,12.0,female,0,0,15.75,,S,Miss,1
2,40.0,female,0,0,15.75,,S,Mrs,1
2,32.5,female,0,0,13.0,E,S,Miss,1
2,27.0,male,1,0,26.0,,S,Mr,0
2,29.0,female,1,0,26.0,,S,Mrs,1
2,2.0,male,1,1,23.0,,S,Master,1
2,4.0,female,1,1,23.0,,S,Miss,1
2,29.0,female,0,2,23.0,,S,Mrs,1
2,0.9167,female,1,2,27.75,,S,Miss,1
2,5.0,female,1,2,27.75,,S,Miss,1
2,36.0,male,1,2,27.75,,S,Mr,0
2,33.0,female,1,2,27.75,,S,Mrs,1
2,66.0,male,0,0,10.5,,S,Mr,0
2,,male,0,0,12.875,,S,Mr,0
2,31.0,male,0,0,13.0,,S,Mr,1
2,,male,0,0,13.0,,S,Mr,1
2,26.0,female,0,0,13.5,,S,Miss,1
2,24.0,female,0,0,13.0,,S,Mrs,0
3,42.0,male,0,0,7.55,,S,Mr,0
3,13.0,male,0,2,20.25,,S,Master,0
3,16.0,male,1,1,20.25,,S,Mr,0
3,35.0,female,1,1,20.25,,S,Mrs,1
3,16.0,female,0,0,7.65,,S,Miss,1
3,25.0,male,0,0,7.65,F,S,Mr,1
3,20.0,male,0,0,7.925,,S,Mr,1
3,18.0,female,0,0,7.2292,,C,Mrs,1
3,30.0,male,0,0,7.25,,S,Mr,0
3,26.0,male,0,0,8.05,,S,Mr,0
3,40.0,female,1,0,9.475,,S,Mrs,0
3,0.8333,male,0,1,9.35,,S,Master,1
3,18.0,female,0,1,9.35,,S,Mrs,1
3,26.0,male,0,0,18.7875,,C,Mr,1
3,26.0,male,0,0,7.8875,,S,Mr,0
3,20.0,male,0,0,7.925,,S,Mr,0
3,24.0,male,0,0,7.05,,S,Mr,0
3,25.0,male,0,0,7.05,,S,Mr,0
3,35.0,male,0,0,8.05,,S,Mr,0
3,18.0,male,0,0,8.3,,S,Mr,0
3,32.0,male,0,0,22.525,,S,Mr,0
3,19.0,female,1,0,7.8542,,S,Miss,1
3,4.0,male,4,2,31.275,,S,Master,0
3,6.0,female,4,2,31.275,,S,Miss,0
3,2.0,female,4,2,31.275,,S,Miss,0
3,17.0,female,4,2,7.925,,S,Miss,1
3,38.0,female,4,2,7.775,,S,Miss,0
3,9.0,female,4,2,31.275,,S,Miss,0
3,11.0,female,4,2,31.275,,S,Miss,0
3,39.0,male,1,5,31.275,,S,Mr,0
3,27.0,male,0,0,7.7958,,S,Mr,1
3,26.0,male,0,0,7.775,,S,Mr,0
3,39.0,female,1,5,31.275,,S,Mrs,0
3,20.0,male,0,0,7.8542,,S,Mr,0
3,26.0,male,0,0,7.8958,,S,Mr,0
3,25.0,male,1,0,17.8,,S,Mr,0
3,18.0,female,1,0,17.8,,S,Mrs,0
3,24.0,male,0,0,7.775,,S,Mr,0
3,35.0,male,0,0,7.05,,S,Mr,0
3,5.0,male,4,2,31.3875,,S,Master,0
3,9.0,male,4,2,31.3875,,S,Master,0
3,3.0,male,4,2,31.3875,,S,Master,1
3,13.0,male,4,2,31.3875,,S,Master,0
3,5.0,female,4,2,31.3875,,S,Miss,1
3,40.0,male,1,5,31.3875,,S,Mr,0
3,23.0,male,0,0,7.7958,,S,Mr,1
3,38.0,female,1,5,31.3875,,S,Mrs,1
3,45.0,female,0,0,7.225,,C,Mrs,1
3,21.0,male,0,0,7.225,,C,Mr,0
3,23.0,male,0,0,7.05,,S,Mr,0
3,17.0,female,0,0,14.4583,,C,Miss,0
3,30.0,male,0,0,7.225,,C,Mr,0
3,23.0,male,0,0,7.8542,,S,Mr,0
3,13.0,female,0,0,7.2292,,C,Miss,1
3,20.0,male,0,0,7.225,,C,Mr,0
3,32.0,male,1,0,15.85,,S,Mr,0
3,33.0,female,3,0,15.85,,S,Mrs,1
3,0.75,female,2,1,19.2583,,C,Miss,1
3,0.75,female,2,1,19.2583,,C,Miss,1
3,5.0,female,2,1,19.2583,,C,Miss,1
3,24.0,female,0,3,19.2583,,C,Mrs,1
3,18.0,female,0,0,8.05,,S,Miss,1
3,40.0,male,0,0,7.225,,C,Mr,0
3,26.0,male,0,0,7.8958,,S,Mr,0
3,20.0,male,0,0,7.2292,,C,Mr,1
3,18.0,female,0,1,14.4542,,C,Miss,0
3,45.0,female,0,1,14.4542,,C,Mrs,0
3,27.0,female,0,0,7.8792,,Q,Miss,0
3,22.0,male,0,0,8.05,,S,Mr,0
3,19.0,male,0,0,8.05,,S,Mr,0
3,26.0,male,0,0,7.775,,S,Mr,0
3,22.0,male,0,0,9.35,,S,Mr,0
3,,male,0,0,7.2292,,C,Master,0
3,20.0,male,0,0,4.0125,,C,Mr,0
3,32.0,male,0,0,56.4958,,S,Mr,1
3,21.0,male,0,0,7.775,,S,Mr,0
3,18.0,male,0,0,7.75,,S,Mr,0
3,26.0,male,0,0,7.8958,,S,Mr,0
3,6.0,male,1,1,15.2458,,C,Master,0
3,9.0,female,1,1,15.2458,,C,Miss,0
3,,male,0,0,7.225,,C,Mr,0
3,,female,0,2,15.2458,,C,Mrs,0
3,,female,0,2,7.75,,Q,Miss,0
3,40.0,male,1,1,15.5,,Q,Mr,0
3,32.0,female,1,1,15.5,,Q,Mrs,0
3,21.0,male,0,0,16.1,,S,Mr,0
3,22.0,female,0,0,7.725,,Q,Miss,1
3,20.0,female,0,0,7.8542,,S,Miss,0
3,29.0,male,1,0,7.0458,,S,Mr,0
3,22.0,male,1,0,7.25,,S,Mr,0
3,22.0,male,0,0,7.7958,,S,Mr,0
3,35.0,male,0,0,8.05,,S,Mr,0
3,18.5,female,0,0,7.2833,,Q,Miss,0
3,21.0,male,0,0,7.8208,,Q,Mr,1
3,19.0,male,0,0,6.75,,Q,Mr,0
3,18.0,female,0,0,7.8792,,Q,Miss,0
3,21.0,female,0,0,8.6625,,S,Miss,0
3,30.0,female,0,0,8.6625,,S,Miss,0
3,18.0,male,0,0,8.6625,,S,Mr,0
3,38.0,male,0,0,8.6625,,S,Mr,0
3,17.0,male,0,0,8.6625,,S,Mr,0
3,17.0,male,0,0,8.6625,,S,Mr,0
3,21.0,female,0,0,7.75,,Q,Miss,0
3,21.0,male,0,0,7.75,,Q,Mr,0
3,21.0,male,0,0,8.05,,S,Mr,0
3,,male,1,0,14.4583,,C,Mr,0
3,,female,1,0,14.4583,,C,Mrs,0
3,28.0,male,0,0,7.7958,,S,Mr,0
3,24.0,male,0,0,7.8542,,S,Mr,0
3,16.0,female,0,0,7.75,,Q,Miss,1
3,37.0,female,0,0,7.75,,Q,Miss,0
3,28.0,male,0,0,7.25,,S,Mr,0
3,24.0,male,0,0,8.05,,S,Mr,0
3,21.0,male,0,0,7.7333,,Q,Mr,0
3,32.0,male,0,0,56.4958,,S,Mr,1
3,29.0,male,0,0,8.05,,S,Mr,0
3,26.0,male,1,0,14.4542,,C,Mr,0
3,18.0,male,1,0,14.4542,,C,Mr,0
3,20.0,male,0,0,7.05,,S,Mr,0
3,18.0,male,0,0,8.05,,S,Mr,1
3,24.0,male,0,0,7.25,,Q,Mr,0
3,36.0,male,0,0,7.4958,,S,Mr,0
3,24.0,male,0,0,7.4958,,S,Mr,0
3,31.0,male,0,0,7.7333,,Q,Mr,0
3,31.0,male,0,0,7.75,,Q,Mr,0
3,22.0,female,0,0,7.75,,Q,Miss,1
3,30.0,female,0,0,7.6292,,Q,Miss,0
3,70.5,male,0,0,7.75,,Q,Mr,0
3,43.0,male,0,0,8.05,,S,Mr,0
3,35.0,male,0,0,7.8958,,S,Mr,0
3,27.0,male,0,0,7.8958,,S,Mr,0
3,19.0,male,0,0,7.8958,,S,Mr,0
3,30.0,male,0,0,8.05,,S,Mr,0
3,9.0,male,1,1,15.9,,S,Master,1
3,3.0,male,1,1,15.9,,S,Master,1
3,36.0,female,0,2,15.9,,S,Mrs,1
3,59.0,male,0,0,7.25,,S,Mr,0
3,19.0,male,0,0,8.1583,,S,Mr,0
3,17.0,female,0,1,16.1,,S,Miss,1
3,44.0,male,0,1,16.1,,S,Mr,0
3,17.0,male,0,0,8.6625,,S,Mr,0
3,22.5,male,0,0,7.225,,C,Mr,0
3,45.0,male,0,0,8.05,,S,Mr,1
3,22.0,female,0,0,10.5167,,S,Miss,0
3,19.0,male,0,0,10.1708,,S,Mr,0
3,30.0,female,0,0,6.95,,Q,Miss,1
3,29.0,male,0,0,7.75,,Q,Mr,1
3,0.3333,male,0,2,14.4,,S,Master,0
3,34.0,male,1,1,14.4,,S,Mr,0
3,28.0,female,1,1,14.4,,S,Mrs,0
3,27.0,male,0,0,7.8958,,S,Mr,0
3,25.0,male,0,0,7.8958,,S,Mr,0
3,24.0,male,2,0,24.15,,S,Mr,0
3,22.0,male,0,0,8.05,,S,Mr,0
3,21.0,male,2,0,24.15,,S,Mr,0
3,17.0,male,2,0,8.05,,S,Mr,0
3,,male,1,0,16.1,,S,Mr,0
3,,female,1,0,16.1,,S,Mrs,1
3,36.5,male,1,0,17.4,,S,Mr,1
3,36.0,female,1,0,17.4,,S,Mrs,1
3,30.0,male,0,0,9.5,,S,Mr,1
3,16.0,male,0,0,9.5,,S,Mr,0
3,1.0,male,1,2,20.575,,S,Master,1
3,0.1667,female,1,2,20.575,,S,Miss,1
3,26.0,male,1,2,20.575,,S,Mr,0
3,33.0,female,1,2,20.575,,S,Mrs,1
3,25.0,male,0,0,7.8958,,S,Mr,0
3,,male,0,0,7.8958,,S,Mr,0
3,,male,0,0,7.8958,,S,Mr,0
3,22.0,male,0,0,7.25,,S,Mr,0
3,36.0,male,0,0,7.25,,S,Mr,0
3,19.0,female,0,0,7.8792,,Q,Miss,1
3,17.0,male,0,0,7.8958,,S,Mr,0
3,42.0,male,0,0,8.6625,,S,Mr,0
3,43.0,male,0,0,7.8958,,S,Mr,0
3,,male,0,0,7.2292,,C,Mr,0
3,32.0,male,0,0,7.75,,Q,Mr,0
3,19.0,male,0,0,8.05,,S,Mr,1
3,30.0,female,0,0,12.475,,S,Miss,1
3,24.0,female,0,0,7.75,,Q,Miss,0
3,23.0,female,0,0,8.05,,S,Miss,1
3,33.0,male,0,0,7.8958,,C,Mr,0
3,65.0,male,0,0,7.75,,Q,Mr,0
3,24.0,male,0,0,7.55,,S,Mr,1
3,23.0,male,1,0,13.9,,S,Mr,0
3,22.0,female,1,0,13.9,,S,Mrs,1
3,18.0,male,0,0,7.775,,S,Mr,0
3,16.0,male,0,0,7.775,,S,Mr,0
3,45.0,male,0,0,6.975,,S,Mr,0
3,,male,0,0,7.225,,C,Mr,0
3,39.0,male,0,2,7.2292,,C,Mr,0
3,17.0,male,1,1,7.2292,,C,Mr,0
3,15.0,male,1,1,7.2292,,C,Mr,0
3,47.0,male,0,0,7.25,,S,Mr,0
3,5.0,female,0,0,12.475,,S,Miss,1
3,,male,0,0,7.225,,C,Mr,0
3,40.5,male,0,0,15.1,,S,Mr,0
3,40.5,male,0,0,7.75,,Q,Mr,0
3,,male,0,0,7.05,,S,Mr,1
3,18.0,male,0,0,7.7958,,S,Mr,0
3,,female,0,0,7.75,,Q,Miss,0
3,,male,0,0,7.75,,Q,Mr,0
3,,male,0,0,6.95,,Q,Mr,0
3,26.0,male,0,0,7.8792,,Q,Mr,0
3,,male,0,0,7.75,,Q,Mr,0
3,,male,0,0,56.4958,,S,Mr,1
3,21.0,female,2,2,34.375,,S,Miss,0
3,9.0,female,2,2,34.375,,S,Miss,0
3,,male,0,0,8.05,,S,Mr,0
3,18.0,male,2,2,34.375,,S,Mr,0
3,16.0,male,1,3,34.375,,S,Mr,0
3,48.0,female,1,3,34.375,,S,Mrs,0
3,,male,0,0,7.75,,Q,Mr,0
3,,male,0,0,7.25,,S,Mr,0
3,25.0,male,0,0,7.7417,,Q,Mr,0
3,,male,0,0,14.5,,S,Mr,0
3,,male,0,0,7.8958,,C,Mr,0
3,22.0,male,0,0,8.05,,S,Mr,0
3,16.0,female,0,0,7.7333,,Q,Miss,1
3,,female,0,0,7.75,,Q,Miss,1
3,9.0,male,0,2,20.525,,S,Master,1
3,33.0,male,1,1,20.525,,S,Mr,0
3,41.0,male,0,0,7.85,,S,Mr,0
3,31.0,female,1,1,20.525,,S,Mrs,1
3,38.0,male,0,0,7.05,,S,Mr,0
3,9.0,male,5,2,46.9,,S,Master,0
3,1.0,male,5,2,46.9,,S,Master,0
3,11.0,male,5,2,46.9,,S,Master,0
3,10.0,female,5,2,46.9,,S,Miss,0
3,16.0,female,5,2,46.9,,S,Miss,0
3,14.0,male,5,2,46.9,,S,Mr,0
3,40.0,male,1,6,46.9,,S,Mr,0
3,43.0,female,1,6,46.9,,S,Mrs,0
3,51.0,male,0,0,8.05,,S,Mr,0
3,32.0,male,0,0,8.3625,,S,Mr,0
3,,male,0,0,8.05,,S,Mr,0
3,20.0,male,0,0,9.8458,,S,Mr,0
3,37.0,male,2,0,7.925,,S,Mr,0
3,28.0,male,2,0,7.925,,S,Mr,0
3,19.0,male,0,0,7.775,,S,Mr,0
3,24.0,female,0,0,8.85,,S,Miss,0
3,17.0,female,0,0,7.7333,,Q,Miss,0
3,,male,1,0,19.9667,,S,Mr,0
3,,male,1,0,19.9667,,S,Mr,0
3,28.0,male,1,0,15.85,,S,Mr,0
3,24.0,female,1,0,15.85,,S,Mrs,1
3,20.0,male,0,0,9.5,,S,Mr,0
3,23.5,male,0,0,7.2292,,C,Mr,0
3,41.0,male,2,0,14.1083,,S,Mr,0
3,26.0,male,1,0,7.8542,,S,Mr,0
3,21.0,male,0,0,7.8542,,S,Mr,0
3,45.0,female,1,0,14.1083,,S,Mrs,1
3,,female,0,0,7.55,,S,Miss,0
3,25.0,male,0,0,7.25,,S,Mr,0
3,,male,0,0,6.8583,,Q,Mr,0
3,11.0,male,0,0,18.7875,,C,Mr,0
